// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:10 (10.15 sec)   *****
// Found 3 benchmarks:
//   DynamicCallFieldTest.Origin: Job-CVNYSV(Runtime=Core, Toolchain=netcoreapp2.0)
//   DynamicCallFieldTest.Origin: Job-KEAMEE(Runtime=Core, Toolchain=netcoreapp2.1)
//   DynamicCallFieldTest.Origin: Job-AGDKPR(Runtime=Core, Toolchain=netcoreapp2.2)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CVNYSV(Runtime=Core, Toolchain=netcoreapp2.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "528d0a0a-3566-4559-af70-27de5ac0d787.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\528d0a0a-3566-4559-af70-27de5ac0d787\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-ONFEHC(Runtime=Core)

WorkloadWarmup   1: 268435456 op, 645165597.76 ns, 2.4034 ns/op
WorkloadWarmup   2: 268435456 op, 649419220.67 ns, 2.4193 ns/op
WorkloadWarmup   3: 268435456 op, 647523717.49 ns, 2.4122 ns/op
WorkloadWarmup   4: 268435456 op, 645818633.77 ns, 2.4059 ns/op
WorkloadWarmup   5: 268435456 op, 650488651.08 ns, 2.4233 ns/op
WorkloadWarmup   6: 268435456 op, 647193051.35 ns, 2.4110 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 645710782.09 ns, 2.4055 ns/op
WorkloadActual   2: 268435456 op, 645903571.91 ns, 2.4062 ns/op
WorkloadActual   3: 268435456 op, 649138332.23 ns, 2.4182 ns/op
WorkloadActual   4: 268435456 op, 646558188.15 ns, 2.4086 ns/op
WorkloadActual   5: 268435456 op, 647283915.40 ns, 2.4113 ns/op
WorkloadActual   6: 268435456 op, 668672523.58 ns, 2.4910 ns/op
WorkloadActual   7: 268435456 op, 645681942.63 ns, 2.4054 ns/op
WorkloadActual   8: 268435456 op, 646191571.45 ns, 2.4073 ns/op
WorkloadActual   9: 268435456 op, 647435223.81 ns, 2.4119 ns/op
WorkloadActual  10: 268435456 op, 644755524.34 ns, 2.4019 ns/op
WorkloadActual  11: 268435456 op, 660612881.99 ns, 2.4610 ns/op
WorkloadActual  12: 268435456 op, 648545345.51 ns, 2.4160 ns/op
WorkloadActual  13: 268435456 op, 647666334.55 ns, 2.4127 ns/op
WorkloadActual  14: 268435456 op, 645863275.67 ns, 2.4060 ns/op
WorkloadActual  15: 268435456 op, 645874732.44 ns, 2.4061 ns/op

// AfterActualRun
WorkloadResult   1: 268435456 op, 7147840.56 ns, 0.0266 ns/op
WorkloadResult   2: 268435456 op, 7340630.38 ns, 0.0273 ns/op
WorkloadResult   3: 268435456 op, 10575390.70 ns, 0.0394 ns/op
WorkloadResult   4: 268435456 op, 7995246.62 ns, 0.0298 ns/op
WorkloadResult   5: 268435456 op, 8720973.87 ns, 0.0325 ns/op
WorkloadResult   6: 268435456 op, 7119001.10 ns, 0.0265 ns/op
WorkloadResult   7: 268435456 op, 7628629.92 ns, 0.0284 ns/op
WorkloadResult   8: 268435456 op, 8872282.28 ns, 0.0331 ns/op
WorkloadResult   9: 268435456 op, 6192582.81 ns, 0.0231 ns/op
WorkloadResult  10: 268435456 op, 9982403.98 ns, 0.0372 ns/op
WorkloadResult  11: 268435456 op, 9103393.02 ns, 0.0339 ns/op
WorkloadResult  12: 268435456 op, 7300334.14 ns, 0.0272 ns/op
WorkloadResult  13: 268435456 op, 7311790.91 ns, 0.0272 ns/op
GC:  0 0 0 0 268435456

// AfterAll

Mean = 0.0302 ns, StdErr = 0.0013 ns (4.34%); N = 13, StdDev = 0.0047 ns
Min = 0.0231 ns, Q1 = 0.0269 ns, Median = 0.0284 ns, Q3 = 0.0335 ns, Max = 0.0394 ns
IQR = 0.0066 ns, LowerFence = 0.0171 ns, UpperFence = 0.0433 ns
ConfidenceInterval = [0.0245 ns; 0.0358 ns] (CI 99.9%), Margin = 0.0056 ns (18.72% of Mean)
Skewness = 0.5, Kurtosis = 2.03, MValue = 2

// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-AGDKPR(Runtime=Core, Toolchain=netcoreapp2.2)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8197f40a-66f1-41fa-aa09-82137cf11f05.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.2" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\8197f40a-66f1-41fa-aa09-82137cf11f05\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-JQIPPC(Runtime=Core)

OverheadJitting  1: 1 op, 436937.58 ns, 436.9376 us/op
WorkloadJitting  1: 1 op, 286814.36 ns, 286.8144 us/op

OverheadJitting  2: 16 op, 383999.39 ns, 24.0000 us/op
WorkloadJitting  2: 16 op, 419159.83 ns, 26.1975 us/op

WorkloadPilot    1: 16 op, 3555.55 ns, 222.2219 ns/op
WorkloadPilot    2: 32 op, 395.06 ns, 12.3457 ns/op
WorkloadPilot    3: 64 op, 790.12 ns, 12.3457 ns/op
WorkloadPilot    4: 128 op, 790.12 ns, 6.1728 ns/op
WorkloadPilot    5: 256 op, 1185.18 ns, 4.6296 ns/op
WorkloadPilot    6: 512 op, 1580.24 ns, 3.0864 ns/op
WorkloadPilot    7: 1024 op, 3160.49 ns, 3.0864 ns/op
WorkloadPilot    8: 2048 op, 5530.86 ns, 2.7006 ns/op
WorkloadPilot    9: 4096 op, 10271.59 ns, 2.5077 ns/op
WorkloadPilot   10: 8192 op, 20148.12 ns, 2.4595 ns/op
WorkloadPilot   11: 16384 op, 39506.11 ns, 2.4113 ns/op
WorkloadPilot   12: 32768 op, 77827.04 ns, 2.3751 ns/op
WorkloadPilot   13: 65536 op, 153283.71 ns, 2.3389 ns/op
WorkloadPilot   14: 131072 op, 364246.34 ns, 2.7790 ns/op
WorkloadPilot   15: 262144 op, 611554.59 ns, 2.3329 ns/op
WorkloadPilot   16: 524288 op, 1283158.47 ns, 2.4474 ns/op
